Site Name,Road Gradient,"Ditch BMP, photo checked",Rock Quality  installed 08-2023,Water Year,d50 (mm),Sample Interval Begin DateTIme,Sample Interval End DateTime,Sample Hours,Flow (liters),98th percentile flow,Fine Suspended sediment (kg),Coarse sediment (kg),Total Sediment (kg),Rainfall (in),All Truck Count (half of count to be consistent with WY23),All Car Count,All Truck count wet (0.1) (half of total to be consistent with WY23),All Car Count wet (0.1),All Truck count wet (0.25) (Half of total to be consistent with WY23),All Car Count wet (0.25),Flow % time missing,Suspended sediment (intervals notes stating compromised),Quality flag,Rainfall % time missing,RG_Site Used,Car Count Conf.,Comment
BISH01,3,sparse grass ,Naselle Good,2024,0.25,10/1/2023 0:00,6/21/2024 12:44,6349,"762,505","1,427",351.93,109.75,461.68,95.32,623.5,1335,343.5,639,319,508,1.10%,0,1,0%,RG_BISH05,BISH02,
BISH02,2,bare,Dixon Marginal,2024,0.19,10/1/2023 0:00,6/21/2024 14:18,6350,"1,560,621","2,380",49.6,19.43,69.03,95.32,623.5,1335,343.5,639,319,508,0.00%,2,1,0%,RG_BISH05,BISH02,full SST
BISH03,2.50,silt traps,Dixon Marginal,2024,0.06,10/1/2023 0:00,6/25/2024 15:29,6447,"251,402",662,17.35,13.7,31.05,95.42,623.5,1350,343.5,639,319,508,0.00%,0,1,0%,RG_BISH05,BISH02,
BISH04,13,dense wattles,Dixon Marginal,2024,0.18,10/1/2023 0:00,6/25/2024 14:55,6447,"4,804,877","5,931",33.56,2.93,36.49,95.42,604.5,737,367.5,374,367.5,297,21.30%,7,1,0%,RG_BISH05,BISH12,many full sst 
BISH05,12.50,dense wattles,Dixon Marginal,2024,0.3,10/1/2023 0:00,6/25/2024 14:40,6447,"42,949",63,3.79,29.22,33.01,95.42,604.5,737,367.5,374,367.5,297,0.00%,0,1,0%,RG_BISH05,BISH12,
BISH06,11.00,bare,Bishop Good,2024,0.3,10/1/2023 0:00,6/25/2024 13:05,6445,"2,969,123","2,487",175.51,248.36,423.87,103.64,604.5,737,367.5,374,367.5,297,15.60%,5,3,0%,RG_BISH12,BISH12,full SST
BISH07,12,heavy grass ,Bishop Good,2024,0.046,10/1/2023 0:00,6/25/2024 12:58,6445,"211,298",605,45.17,44.07,89.24,103.64,604.5,737,367.5,374,367.5,297,6.00%,0,1,0%,RG_BISH12,BISH12,
BISH09,8,heavy grass ,Naselle Good,2024,0.06,10/1/2023 0:00,6/25/2024 11:40,6444,"68,847",178,16.77,100.91,117.68,103.64,604.5,737,367.5,374,367.5,297,0.00%,0,1,0%,RG_BISH12,BISH12,
BISH10,9,sparse grass ,Naselle Good,2024,0.043,10/1/2023 0:00,6/25/2024 11:40,6444,"121,420",327,14.04,39.9,53.94,103.64,604.5,737,367.5,374,367.5,297,22.00%,0,1,0%,RG_BISH12,BISH12,
BISH11,5,heavy grass ,Naselle Good,2024,0.039,10/1/2023 0:00,6/25/2024 10:55,6443,"2,164,539","2,183",54.58,27.66,82.24,103.64,604.5,737,367.5,374,367.5,297,8.20%,5,1,0%,RG_BISH12,BISH12,full SST
BISH12,5,heavy grass ,Dixon Marginal,2024,0.031,10/1/2023 0:00,6/25/2024 10:10,6442,"40,593",110,0.54,9.52,10.06,103.64,604.5,737,367.5,374,367.5,297,0.00%,0,1,0%,RG_BISH12,BISH12,
DEL04,7,heavy grass ,Dixon Marginal,2024,0.26,10/1/2023 0:00,6/26/2024 13:30,6470,"103,601",186,46.52,204.01,250.53,59.26,1010.5,5835,495,2542,295,1610,0%,0,1,9%,RG_DEL0104,DEL6,
DEL06,7,dense wattles,Minot Pit Good,2024,0.09,10/1/2023 0:00,6/26/2024 14:24,6470,"2,107,759","2,943",16.99,5.54,22.53,59.26,1010.5,5835,495,2542,295,1610,46%,3,3,9%,RG_DEL0105,DEL6,culvert from road cut and stolen; SST full
DEL08,3,dense wattles,Dixon Marginal,2024,0.07,10/1/2023 0:00,6/26/2024 15:33,6472,"574,250",923,33.93,51.21,85.13,59.26,702.5,3415,360.5,1460,222,878,0%,0,1,9%,RG_DEL0106,DEL10,
DEL09,9,silt traps,Dixon Marginal,2024,0.099,10/1/2023 0:00,6/26/2024 16:05,6472,"93,105",142,17.64,191.68,209.31,59.26,702.5,3415,360.5,1460,222,878,0%,0,1,9%,RG_DEL0107,DEL10,
DEL10,3,silt traps,Dixon Marginal,2024,0.065,10/1/2023 0:00,6/26/2024 15:50,6472,"264,722",623,47.63,190.14,237.77,59.26,702.5,3415,360.5,1460,222,878,0%,1,1,9%,RG_DEL0108,DEL10,
KID01,10,heavy grass ,Naselle Good,2024,0.012,10/1/2023 0:00,6/11/2024 10:53,6107,"4,052,453","6,316",188.26,7.46,195.73,47.84,1517.5,10544,656,4273,450.5,3051,0%,3,1,0%,SRBW1 (sediment dam rain gage),KID1,"pressure transducer flow; pipe to SST fell off, sagged"
KID02,10,heavy grass ,Naselle Good,2024,0.17,10/1/2023 0:00,6/11/2024 12:37,6109,"4,064,972","7,996",53.03,45.19,98.22,47.84,1517.5,10544,656,4273,450.5,3051,0%,3,1,0%,SRBW1 (sediment dam rain gage),KID1,"pressure transducer flow; pipe to SST fell off, SST full"
KID03,10,heavy grass ,Naselle Good,2024,0.024,10/1/2023 0:00,6/11/2024 14:58,6111,"4,793,962","5,672",255.49,61.75,317.24,47.84,1517.5,10544,656,4273,450.5,3051,21%,6,1,0%,SRBW1 (sediment dam rain gage),KID1,
KID04,10,heavy grass ,Naselle Good,2024,0.19,10/1/2023 0:00,6/12/2024 7:33,6128,"119,277",385,16.65,93.12,109.77,47.84,1517.5,10575,656,4273,450.5,3051,0%,1,1,0%,SRBW1 (sediment dam rain gage),KID1,
KID05,10,heavy grass ,Naselle Good,2024,0.51,10/1/2023 0:00,6/12/2024 9:33,6130,"1,333,889","1,845",74.62,19.87,94.49,47.84,1517.5,10575,656,4273,450.5,3051,0%,2,1,0%,SRBW1 (sediment dam rain gage),KID1,
KID07,8,heavy grass ,4511 Good,2024,0.014,10/1/2023 0:00,6/12/2024 11:07,6131,"73,761",128,12.89,34.03,46.92,47.84,1161.5,9956,420.5,3679,218,2239,0%,0,1,0%,SRBW1 (sediment dam rain gage),KID7,
KID13,6,heavy grass ,4511 Good,2024,0.026,10/1/2023 0:00,6/12/2024 13:27,6133,"1,464,079","3,969",32.86,26.46,59.32,47.84,948,4611,311,1908,139,1223,2%,2,1,37%,SRBW1 (sediment dam rain gage),KID16,
KID14,5,dense wattles,4511 Good,2024,0.44,10/1/2023 0:00,6/12/2024 15:42,6136,"1,021,748","1,781",88.68,36.45,125.13,47.84,948,4611,311,1908,139,1223,0%,0,1,37%,SRBW1 (sediment dam rain gage),KID16,
KID15,5,bare,4511 Good,2024,0.26,10/1/2023 0:00,6/13/2024 7:41,6152,"369,086",702,58.28,42.19,100.47,47.84,950.5,4621,311,1908,139,1223,0%,0,1,37%,SRBW1 (sediment dam rain gage),KID16,
KID16,5,dense wattles,4511 Marginal,2024,0.1,10/1/2023 0:00,6/12/2024 8:47,6129,"1,518,193","2,632",40.41,31.59,72,47.84,948,4611,311,1908,139,1223,4%,0,1,37%,SRBW1 (sediment dam rain gage),KID16,pressure transducer flow
KID26,4,silt traps,4511 Good,2024,0.04,10/1/2023 0:00,6/19/2024 8:54,6297,"866,031","1,398",497.07,137.2,634.27,48.28,4785,7354,1704,2706,813.5,1506,0%,1,1,37%,SRBW1 (sediment dam rain gage),KID26,
KID27,4,sparse grass ,4511 Marginal,2024,2.8,10/1/2023 0:00,6/19/2024 7:43,6296,"92,428",83,3.24,7.2,10.44,48.28,4785,7354,1704,2706,813.5,1506,0%,0,1,37%,SRBW1 (sediment dam rain gage),KID26,
KID28,3,silt traps,4511 Marginal,2024,0.006,10/1/2023 0:00,6/18/2024 16:04,6280,"390,081",778,189.56,118.58,308.14,48.28,4785,7354,1704,2706,813.5,1506,23%,0,1,37%,SRBW1 (sediment dam rain gage),KID26,
KID29,3,heavy grass ,Naselle Good,2024,0.28,10/1/2023 0:00,6/18/2024 15:10,6279,"1,930,750","3,052",93.04,6.87,99.91,48.28,4785,7354,1704,2706,813.5,1506,4%,4,1,37%,SRBW1 (sediment dam rain gage),KID26,SST full
KID30,2,heavy grass ,Naselle Good,2024,4.6,10/1/2023 0:00,6/18/2024 14:19,6278,"3,064,464","3,462",315.49,12.93,328.42,65.11,4785,7354,1704,2706,813.5,1506,24%,5,2,37%,RG_KID46,KID26,SST full
KID31,2,heavy grass ,Naselle Good,2024,1.7,10/1/2023 0:00,6/18/2024 12:21,6276,"3,876,164","4,710",149.68,19.48,169.15,65.11,4785,7354,1704,2706,813.5,1506,0%,0,1,37%,RG_KID46,KID26,pressure transducer flow
KID32,2,dense wattles,4511 Good,2024,0.16,10/1/2023 0:00,6/18/2024 9:45,6274,"4,321,869","3,560",93.94,12.65,106.59,65.11,4785,7354,1704,2706,813.5,1506,50%,6,3,37%,RG_KID46,KID26,SST full
KID33,3,sparse grass ,4511 Marginal,2024,0.07,10/1/2023 0:00,6/14/2024 13:45,6182,"6,735,087","6,070",214.47,14.94,229.41,64.2,4785,7354,1704,2706,813.5,1506,54%,9,2,37%,RG_KID46,KID26,"SST full; flag due to lots of gaps, full SST"
KID34,3,sparse grass ,4511 Marginal,2024,0.0065,10/1/2023 0:00,6/14/2024 12:40,6181,"3,118,503","3,388",79.2,7.16,86.36,64.2,4785,7354,1704,2706,813.5,1506,14%,7,1,37%,RG_KID46,KID26,SST full
KID37,4,bare,4511 Good,2024,0.0048,10/1/2023 0:00,6/14/2024 10:39,6179,"443,181",977,306.15,125.67,431.82,64.2,4850.5,8274,2159.5,3788,1265.5,2392,0%,0,1,37%,RG_KID46,KID37,
KID38,4,silt traps,4511 Good,2024,0.0034,10/1/2023 0:00,6/14/2024 9:30,6178,"120,479",211,29.13,29.37,58.5,64.2,4850.5,8274,2159.5,3788,1265.5,2392,0%,0,1,37%,RG_KID46,KID37,
KID39,4,bare,4511 Good,2024,0.18,10/1/2023 0:00,6/14/2024 8:02,6176,"58,648",90,25.17,31.19,56.36,64.2,4850.5,8274,2159.5,3788,1265.5,2392,0%,0,1,37%,RG_KID46,KID37,
KID40,4,sparse grass ,4511 Good,2024,0.3,10/1/2023 0:00,6/13/2024 15:29,6159,"31,378",29,4.57,9.42,14,64.2,4941,9164,2414.5,4383,1332.5,2751,13%,0,1,48%,RG_KID46,KID43,
KID43,4,heavy grass ,4511 Marginal,2024,NA,10/1/2023 0:00,6/13/2024 13:42,6158,"24,624",45,6.07,14.87,20.94,64.2,4941,9164,2414.5,4383,1332.5,2751,0%,0,1,48%,RG_KID46,KID43,
KID44,4,dense wattles,4511 Marginal,2024,0.0059,10/1/2023 0:00,6/18/2024 12:23,6276,"33,542",48,5.64,15.72,21.36,65.11,5015,9215,2464.5,4422,1333,2754,0%,0,1,48%,RG_KID46,KID43,
KID46,3,bare,4511 Marginal,2024,3.6,10/1/2023 0:00,6/13/2024 11:03,6155,"107,308",294,29.36,18.85,48.21,64.2,5015,9215,2464.5,4422,1333,2754,0%,0,1,48%,RG_KID46,KID43,
KID52,2,dense wattles,4511 Good,2024,NA,10/1/2023 0:00,6/18/2024 11:05,6275,"1,774,920","2,673",97.13,15.44,112.57,65.11,4785,7354,1704,2706,813.5,1506,9%,5,1,48%,RG_KID46,KID26,SST full
MEL01,8,bare,Dixon Marginal,2024,0.36,10/1/2023 0:00,6/26/2024 8:07,6464,"356,571",748,65.22,28.95,94.16,67.21,641,3405,281,1450,158.5,994,0%,0,1,0%,RG_MEL05,MEL01,
MEL02,10,dense wattles,Dixon Marginal,2024,0.4,10/1/2023 0:00,6/26/2024 8:34,6465,"776,007","1,365",207.3,63.17,270.47,67.21,641,3405,281,1450,158.5,994,0%,0,1,0%,RG_MEL05,MEL01,
MEL04,7,silt traps,Dixon Marginal,2024,0.68,10/1/2023 0:00,6/26/2024 8:57,6465,"102,524",199,17.32,22.12,39.43,67.21,641,3405,281,1450,158.5,994,0%,0,1,0%,RG_MEL05,MEL01,
MEL05,7,bare,Dixon Marginal,2024,0.44,10/1/2023 0:00,6/26/2024 9:12,6465,"310,300",678,56.85,273.88,330.72,67.21,641,3405,281,1450,158.5,994,0%,0,1,0%,RG_MEL05,MEL01,
MEL11,4,Rock,Dixon Marginal,2024,0.056,10/1/2023 0:00,6/26/2024 10:10,6466,"154,346",292,32.08,41.46,73.54,69.27,956,3135,473,1558,290,1073,0%,0,1,0%,RG_MEL 14,MEL14,
MEL12,5,sparse grass ,Naselle Good,2024,,10/1/2023 0:00,6/26/2024 10:30,6467,"583,982","1,093",132.97,30.02,162.99,69.27,956,3135,473,1558,290,1073,0%,0,1,0%,RG_MEL 14,MEL14,
MEL13,10,dense wattles,Naselle Good,2024,,10/1/2023 0:00,6/26/2024 10:35,6467,"865,440","1,486",179.76,27.44,207.2,69.27,956,3135,473,1558,290,1073,0%,2,1,0%,RG_MEL 14,MEL14,
MEL14,10,heavy grass ,Naselle Good,2024,0.07,10/1/2023 0:00,6/26/2024 11:30,6467,"316,425",739,114.1,418.07,532.17,69.27,956,3135,473,1558,290,1073,0%,0,2,0%,RG_MEL 14,MEL14,high in coarse - possbility that extra sediment included from shoveling the inlet basin mass out. Should not generate too much extra.
NASE01,7,silt traps,Naselle Good,2024,0.27,10/1/2023 0:00,6/20/2024 10:15,6322,"7,093,988","8,384",23.98,7.73,31.71,105.67,16,524,7,266,7,266,0%,2,1,33%,RG_NASE0104,NASE1,pressure transducer flow
NASE02,7,dense wattles,Naselle Good,2024,0.8,10/1/2023 0:00,6/20/2024 8:56,6321,"2,807,701","2,472",9.21,2.75,11.96,105.67,16,524,7,266,7,266,0%,0,1,33%,RG_NASE0104,NASE1,pressure transducer flow
NASE03,7,bare,Naselle Good,2024,NA,10/1/2023 0:00,6/20/2024 7:30,6320,"8,445,576","16,802",83.75,35.52,119.27,105.67,16,524,7,266,7,266,0%,0,1,33%,RG_NASE0104,NASE1,
NASE04,7,bare,Naselle Good,2024,NA,10/1/2023 0:00,6/19/2024 15:00,6303,"19,111,329","16,111",139.64,141.31,280.95,105.67,16,520,7,266,7,266,0%,5,1,33%,RG_NASE0104,NASE1,pressure transducer flow
NASE05,2.50,sparse grass ,Naselle Good,2024,0.013,10/1/2023 0:00,6/21/2024 10:20,6346,"294,224",514,6.11,3.65,9.76,102.08,347,1612,117.5,741,42,596,0%,0,1,0%,RG_NASE05,NASE5,
NASE06,5,heavy grass ,Naselle Good,2024,0.057,10/1/2023 0:00,6/21/2024 9:10,6345,"686,732","1,880",3.51,2.84,6.35,102.08,347,1612,117.5,741,42,596,0%,2,1,0%,RG_NASE05,NASE5,SST full
NASE07,5,heavy grass ,Naselle Good,2024,0.075,10/1/2023 0:00,6/21/2024 7:49,6344,"9,072,840","11,199",48.95,17.85,66.8,102.08,347,1612,117.5,741,42,596,0%,1,1,0%,RG_NASE05,NASE5,pressure transducer flow
NASE08,5,dense wattles,Naselle Marginal,2024,0.06,10/1/2023 0:00,6/20/2024 16:42,6329,"2,443,145","2,557",142.32,30.11,172.43,102.08,340.5,1604,117.5,741,42,596,6%,5,1,0%,RG_NASE05,NASE5,SST full
NASE09,7,heavy grass ,Naselle Good,2024,0.035,10/1/2023 0:00,6/20/2024 15:49,6328,"57,298",110,9.49,16.39,25.88,102.08,340.5,1604,117.5,741,42,596,0%,0,1,0%,RG_NASE05,NASE5,
NASE10,13,bare,Naselle Marginal,2024,0.013,10/1/2023 0:00,6/20/2024 15:00,6327,"142,854",329,14.34,10.65,24.99,102.08,0.5,1092,0,546,0,506,0%,0,1,0%,RG_NASE05,NASE11,
NASE11,13,silt traps,Naselle Good,2024,NA,10/1/2023 0:00,6/20/2024 13:35,6326,"366,704",990,14.32,19.8,34.12,102.08,0.5,1092,0,546,0,506,0%,1,1,0%,RG_NASE05,NASE11,SST full
NASE12,3,sparse grass ,Naselle Marginal,2024,0.37,10/1/2023 0:00,6/20/2024 12:35,6325,"669,718","1,596",2.58,1.03,3.61,102.08,0.5,1092,0,546,0,506,0%,2,1,0%,RG_NASE05,NASE11,SST full
NASE13,5,bare,Naselle Marginal,2024,0.051,10/1/2023 0:00,6/20/2024 11:47,6324,"31,146",63,1.71,3,4.71,102.08,0.5,1092,0,546,0,506,0%,0,1,0%,RG_NASE05,NASE11,
NEWS19,4,bare,Naselle Good,2024,0.056,10/1/2023 0:00,6/4/2024 10:12,5938,"749,493","1,611",64.72,7.53,72.25,84.86,521.5,3710,289.5,1970,218,1460,19%,0,1,15%,RG_NEWS1920,NEWS1920,high coarse due to ripping open the ditch
NEWS20,5,heavy grass ,Minot Pit Good,2024,0.065,10/1/2023 0:00,6/4/2024 13:10,5941,"5,552,366","6,173",11.6,5.57,17.17,84.86,521.5,3710,289.5,1970,218,1460,19%,5,2,15%,RG_NEWS1920,NEWS1920,SST full; a couple big gaps on peak flows leads to flow uncertainty; full SSTs
TOUT04,2.50,bare,4511 Marginal,2024,0.28,10/1/2023 0:00,6/5/2024 10:16,5962,"19,465,962","25,819",133.34,11.83,145.17,78.64,604.5,3998,309.5,1808,262.5,1313,6%,5,2,0%,TOUT (PRISM),TOUT13,"pressure transducer flow; SST full, hose uphill"
TOUT05,2.50,heavy grass ,4511 Marginal,2024,0.28,10/1/2023 0:00,6/5/2024 12:38,5965,"15,953,990","19,649",20.83,4.68,25.51,78.64,604.5,3998,309.5,1808,262.5,1313,20%,3,2,0%,TOUT (PRISM),TOUT13,pressure transducer flow; SST full; flow uncertainty
TOUT09,4,heavy grass ,4511 Good,2024,0.028,10/1/2023 0:00,6/5/2024 14:20,5966,"2,013,557","3,148",6.53,4.29,10.82,78.64,604.5,3998,309.5,1808,262.5,1313,13%,2,1,0%,TOUT (PRISM),TOUT13,SST full
TOUT10,3,bare,4511 Good,2024,0.0062,10/1/2023 0:00,6/6/2024 7:56,5984,"273,059",737,18.19,28.46,46.65,79.16,604.5,3998,309.5,1808,262.5,1313,0%,0,1,0%,TOUT (PRISM),TOUT13,
TOUT11,3,bare,4511 Good,2024,0.04,10/1/2023 0:00,6/6/2024 9:10,5985,"244,223",704,7.46,15.05,22.5,79.16,604.5,3998,309.5,1808,262.5,1313,0%,0,1,0%,TOUT (PRISM),TOUT13,
TOUT12,5,bare,4511 Good,2024,0.0066,10/1/2023 0:00,6/6/2024 10:29,5986,"606,150","1,305",73.65,192.07,265.72,79.16,604.5,3998,309.5,1808,262.5,1313,0%,0,1,0%,TOUT (PRISM),TOUT13,
TOUT13,5,bare,4511 Good,2024,0.009,10/1/2023 0:00,6/6/2024 12:38,5989,"715,138","1,508",54.52,130.98,185.5,79.16,604.5,3998,309.5,1808,262.5,1313,10%,0,1,0%,TOUT (PRISM),TOUT13,
TOUT15,4,bare,4511 Marginal,2024,0.006,10/1/2023 0:00,6/6/2024 14:46,5991,"613,443","1,435",98.88,54.33,153.21,79.16,761,4330,396.5,1956,331,1432,0%,0,1,0%,TOUT (PRISM),TOUT22,
TOUT19,8,silt traps,4511 Good,2024,0.17,10/1/2023 0:00,6/7/2024 8:13,6008,"72,440",173,22.18,74.61,96.8,79.16,762,4349,396.5,1956,331,1432,0%,0,1,0%,TOUT (PRISM),TOUT22,
TOUT20,8,silt traps,4511 Good,2024,0.066,10/1/2023 0:00,6/7/2024 9:39,6010,"128,797",233,27.06,24.33,51.39,79.16,762,4349,396.5,1956,331,1432,0%,0,1,0%,TOUT (PRISM),TOUT22,
TOUT22,8,dense wattles,4511 Marginal,2024,0.012,10/1/2023 0:00,6/7/2024 10:50,6011,"18,302",31,3.97,12.54,16.51,79.16,762,4349,396.5,1956,331,1432,0%,0,1,0%,TOUT (PRISM),TOUT22,
TOUT24,10,heavy grass ,Naselle Good,2024,0.023,10/1/2023 0:00,6/7/2024 12:30,6013,"345,594",651,199.15,430.36,629.51,79.16,729.5,4485,378,1926,318.5,1438,0%,0,1,0%,TOUT (PRISM),TOUT24,the high sediment value is real; trucks were cutting inside corner of the road and clear material entering ditch
